product_id,category,leaf_category,title,store,price,average_rating,rating_count
6300267962,Camera & Photo,VHS,Mister Roberts [VHS],"Henry Fonda  (Actor),     James Cagney  (Actor),     John Ford  (Director),     Joshua Logan  (Director, Writer)    &                   1                  more   Format: VHS Tape",15.50,4.8,3765
B00004ZCGD,Camera & Photo,Graduated Color Filters,Tiffen 67mm Graduated Sunrise Filter,Tiffen,39.50,5.0,5
B0000632GW,Camera & Photo,VHS,Sony 12T120VR 120-Minute Premium VHS Cassettes (12-Pack) (Discontinued by Manufacturer),Sony,65.95,4.0,178
B000063S4I,Camera & Photo,DSLR Cameras,Sony DSCP31 Cyber-shot 2MP Digital Still Camera,Sony,98.90,3.3,24
B000063VXW,Camera & Photo,SLR Camera Lenses,Minolta 2662-110 50MM AF f/1.4 for Minolta/Sony SLR/DSLR Cameras,Minolta,159.87,4.3,6
B000069092,Camera & Photo,Digital Cameras,Nikon Coolpix 5700 5MP Digital Camera w/ 8x Optical Zoom (Discontinued by Manufacturer),Nikon,43.82,3.0,91
B00008IOEJ,Camera & Photo,Point & Shoot Digital Cameras,Olympus D560 3.2 MP Digital Camera with 3x Optical Zoom,Olympus,109.99,2.5,52
B00008ZGSO,Camera & Photo,Camcorder Batteries,"Sony RMVD1 Remote for DCR-HC, DCR-DVD, DCRVX2100 & HDRFX1 Camcorders",Sony,79.99,3.9,33
B00009R6BY,Camera & Photo,Shoe Mounts,"Manfrotto 143S Flash Shoe for Magic Arm - Replaces 2932,Black",Manfrotto,11.00,3.9,68
B00009R7WE,Camera & Photo,Neutral Density Filters,"Lee Filters Neutral Density 0.9 Graduated Filter, Hard Edge, 100x150mm - Resin",Lee Filters,146.00,4.8,8
B00009R8WK,Camera & Photo,Archival Boxes,"Lineco Archival 8x10"" Print Storage Box, Drop Front Design, 8 1/2"" x 10 1/2"" x 1 1/2"", Exterior Color: Black",Lineco,24.80,4.8,6
B00009W3U8,Camera & Photo,Effects Filters,Sunpak CF-7057-CP Camera Filter,SLIK,12.99,3.6,16
B00009XVD5,Camera & Photo,SLR Camera Lenses,Canon MP-E 65mm f/2.8 1-5X Macro Lens for Canon SLR Cameras,Canon,1004.95,4.2,105
B0000AE6AG,Camera & Photo,Cloths,ILFORD Antistatic Cloths (1203547),Ilford,16.00,4.7,188
B0000AE6B7,Camera & Photo,Film,"Ilford XP2 Super, Black and White Print Film, 120 (6 cm), ISO 400 (1839649)",Ilford,12.99,4.7,89
B0000BVDG8,Camera & Photo,Neutral Density Filters,Nikon 67mm Screw-on Neutral Color Filter,Nikon,64.95,4.6,160
B00016US7I,Camera & Photo,Step-Up Rings,Tiffen 5862SUR 58 to 62 Step Up Filter Ring (Black),Tiffen,11.95,4.7,10
B00017LSDU,Camera & Photo,Color Correction & Compensation Filters,B+W 77mm Orange Camera Lens Contrast Filter with Multi Resistant Coating (040M),B + W,119.10,4.6,7
B0001AU9B4,Camera & Photo,Hidden Cameras,D-Link DCS-5300 10/100 Pan/Tilt Network Internet Camera,D-Link,149.00,3.0,11
B0001EY1GY,Camera & Photo,Point & Shoot Digital Cameras,Nikon Coolpix 8700 8MP Digital Camera with 8x Optical Zoom (Discontinued by Manufacturer),Nikon,82.99,3.5,69
B0002GTRCY,Camera & Photo,Binoculars,Fujinon Polaris 7x50 FMT-SX Porro Prism Binocular,Fujifilm,699.99,4.8,11
B0002R9FMA,Camera & Photo,DSLR Cameras,Panasonic Lumix DMC-FZ20K 5MP Digital Camera with 12x Image Stabilized Optical Zoom (Black),Panasonic,135.00,3.5,131
B0002RU25O,Camera & Photo,Tripod & Monopod Accessories,Bogen 2 Pack 1X2 Drop in Ceiling Speaker,Bogen,132.84,4.0,6
B0002YBWDI,Camera & Photo,Complete Tripods,Manfrotto 528XB 100mm Bowl 1-Stage Heavy Duty Pro Video Tripod (Black),Manfrotto,1116.00,4.4,6
B00032CAWQ,Camera & Photo,Hi-8,Sony Hi8 Camcorder 8mm Cassettes 120 Minute (3-Pack),Sony,69.97,4.2,20
B0006IWXOC,Camera & Photo,Surveillance Cameras,Swann Night Hawk 2.4 GHz Wireless Outdoor Security System,Swann,119.99,2.9,33
B0007KIWBW,Camera & Photo,MiniDV,2 Pack High Bias 110 Minute Cassette,Memorex,16.98,4.1,8
B0007WK8LC,Camera & Photo,Battery Grips,Canon BG-E3 Battery Grip for EOS Rebel XTi & XT Digital Cameras,Canon,68.00,4.4,210
B000AOVOOC,Camera & Photo,Reflectors,Lastolite LL LR2034 20-Inch Collapsible Reflector (Silver/Gold),Manfrotto,28.95,4.6,8
B000B7807C,Camera & Photo,Chemicals,Photographer's Formulary Potassium Bromide 100 grams,Photographers' Formulary,16.06,3.7,5
B000B7A3AY,Camera & Photo,Filters,"Rosco Cinegel Roscosun CTO, 20 x 24 inches Color Correction Lighting Filter",Rosco,10.53,4.1,35
B000B8AF9W,Camera & Photo,SLR Camera Lenses,Pentax DA 12-24mm f/4 ED AL (IF) Lens for Pentax and Samsung Digital SLR's,Pentax,296.00,4.3,44
B000BRVLB4,Camera & Photo,Camera,POWER 2000 RTC113 Mini Rapid Charger (for Olympus LI-40B),VidPro,10.89,3.6,22
B000CPYVTE,Camera & Photo,Filter Sets,"Ultimaxx 3-Piece Multi-Coated HD Professional 67mm Filter Kit (UV, FLD, CPL)",Digital Nc,35.00,4.4,8
B000DZH42Y,Camera & Photo,Point & Shoot Digital Cameras,Sony Cybershot DSC-T50 7.2MP Digital Camera with 3x Optical Zoom (Black),Sony,119.95,3.3,23
B000DZH84S,Camera & Photo,MiniDV,23030073 - DVC60. Mini DV Video Cassettes. 3pk,Fujifilm,29.99,4.5,5
B000EMWBT2,Camera & Photo,Point & Shoot Digital Cameras,Canon PowerShot SD600 6MP Digital Elph Camera with 3x Optical Zoom (OLD MODEL),Canon,189.95,4.3,533
B000GLK8VY,Camera & Photo,Camera Batteries,"DigiPower BP-CN5L Replacement Li-Ion Battery for the Canon NB-5L for use with Canon SD700IS, SD790IS, SD800IS, SD850IS, SD870IS, SD880IS, SD890IS, SD900, SD950IS, SD990IS, SD970IS & SX200IS Digital Cameras",DigiPower,35.99,3.6,21
B000HIAIHK,Camera & Photo,Camera Mounts & Clamps,Manfrotto 059WM Wall Mount Single Background Holder,Bogen,29.88,4.6,64
B000HZXX0W,Camera & Photo,Point & Shoot Digital Cameras,Kodak Easyshare C433 4 MP Digital Camera with 3xOptical Zoom (OLD MODEL),KODAK,59.50,3.8,65
B000IF8NNS,Camera & Photo,Camcorders,Sony HVR-V1U 3-CMOS 1080i Professional HDV Camcorder with 20x Optical Zoom (Discontinued by Manufacturer),Sony,315.00,2.9,19
B000JSZ41S,Camera & Photo,Accessory Kits,"Opteka High Definition 2X Telephoto Converter for The Opteka 650-1300mm, 420-800mm, 500mm and 800mm SLR Lenses",Opteka,19.95,4.1,245
B000KZBRG6,Camera & Photo,Light Meters,Sekonic 401-208 Twin Mate Light Meter (Black/White),Sekonic,129.00,4.3,499
B000M3HYTA,Camera & Photo,Camcorders,Sony HDR-UX7 6MP AVCHD DVD High Definition Camcorder with 10x Optical Zoom (Discontinued by Manufacturer),Sony,249.99,3.3,9
B000M4815K,Camera & Photo,Grey Cards,"Novoflex 9x8"" Grey/White Card for Manual White Balance/ Exposure (ZEBRA)",Novoflex,28.22,4.2,46
B000M4MLSS,Camera & Photo,Point & Shoot Digital Cameras,Sony Cybershot DSCW200 12.1MP Digital Camera with 3x Optical Zoom and Super Steady Shot,Sony,199.99,3.6,59
B000OASNTQ,Camera & Photo,Point & Shoot Digital Cameras,Olympus Stylus 780 7.1MP Digital Camera with Dual Image Stabilized 5x Optical Zoom (Black),Olympus,399.99,2.8,13
B000P7UWRE,Camera & Photo,MiniDV,"DigitalMaster Mini 63 Minutes HDV, 41 Minutes DVCAM",Sony,17.99,4.8,18
B000PGT8BQ,Camera & Photo,Lens Hoods,Sony ALC-SH0006 Lens Hood for Sony 18-70mm f/3.5-5.6 Standard Zoom Lens,Sony,9.95,3.7,9
B000QCJSR8,Camera & Photo,Film,"Kodak UltraMax 400 ISO, 36 Exp. 35mm Film",KODAK,15.99,4.5,43
B000R9VF9E,Camera & Photo,Accessory Kits,RAYNOX DCR-150 Macro Close-UP Lens 52MM 55MM 58MM 67MM,Raynox,69.95,4.5,7
B000RTU662,Camera & Photo,Tripod Legs,"Manfrotto 032SPL Autopole Spirit Level,Black",Manfrotto,9.57,4.3,159
B000SCUWOY,Camera & Photo,Camcorder Batteries,"Panasonic Original VW-VBG130 Lithium Battery for HDC-HS700, TM700, HS300, TM300, HS250, SD20, HS20, HDC-SDT750 Camcorders",Panasonic,129.00,3.9,76
B000UOMGU8,Camera & Photo,Tripod Heads,Giottos MH1304-110C Professional Mini Ball Head,Giotto's,21.99,3.7,107
B000UX1ZA6,Camera & Photo,Point & Shoot Digital Cameras,Casio Exilim EX-Z77 7.2MP Digital Camera with 3x Anti-Shake Optical Zoom (Black),Casio,69.09,3.3,11
B0010CDWIY,Camera & Photo,Lens Hoods,"Tamron RHAFA09 Replacement Lens Hood for Tamron Sp Auto Focus28-75mm Feet/2.8 Lens (Model DA09) , Black",Tamron,18.99,4.1,112
B0010CIA4A,Camera & Photo,Camera & Photo,Davis & Sanford QC Quick Change Screw,Davis & Sanford,12.71,4.5,36
B0010SJYBC,Camera & Photo,Light Meters,"Sekonic L-398A Light Meter Studio Deluxe III (401-399),Black",Sekonic,229.00,4.5,150
B00111Z6QK,Camera & Photo,Step-Up Rings,Tiffen 5277SUR 52 to 77 Step Up Filter Ring (Black),Tiffen,14.99,4.2,8
B001167I2U,Camera & Photo,Lens Hoods,ProOptic Dedicated Lens Hood for Canon EF-S 17-55mm f/2.8 is USM Lens (EW-83J),Pro-Optic,9.95,4.7,29
B0012FOG6Q,Camera & Photo,Lens Hoods,B+W 67mm 900 Collapsible Rubber Lens Hood for Standard/Short Zoom Lenses,B + W,24.00,4.4,23
B0012XZQDU,Camera & Photo,Point & Shoot Digital Cameras,Sony Cybershot DSCW150/R 8.1MP Digital Camera with 5x Optical Zoom with Super Steady Shot (Red),Sony,144.99,3.6,61
B00131GCAC,Camera & Photo,Camera Mounts & Clamps,Manfrotto 565 Rubber Tripod Shoes for Twin Spiked Feet - Set of 3 (Black),Manfrotto,39.88,4.6,48
B0013UUEOS,Camera & Photo,Screen Protector Foils,GGS DSLR LCD Optical Glass Screen Protector for Canon EOS 1000D Rebel XS camera,GGS,9.90,3.9,18
B0018C72E6,Camera & Photo,Camcorders,Panasonic Pro AG-HVX200A 3CCD P2/DVCPRO 1080i High Definition Camcorder with 13x Optical Zoom,Panasonic,1759.95,3.7,10
B001AJMMKG,Camera & Photo,Portfolios,"ProFolio by Itoya, Art Profolio Advantage, 24 Sheets Presentation Book - Portrait, 4 x 6 Inches",PROFOLIO,7.02,4.6,75
B001BPE3KQ,Camera & Photo,Tripods & Monopods,DMKFoto Heavy Duty Ball Head with Quick Release Plate,DMKFoto,16.49,4.4,622
B001C1L9BA,Camera & Photo,Lighting,DMKFoto 2 Strobe Kit for Home Studio Complete with Umbrellas and Stands,DMKFoto,59.99,4.3,16
B001EYU70O,Camera & Photo,Camera Batteries,"Kinamax 2000mAh BP-511 / BP-512 Replacement Battery for Canon EOS 10D, 20D, 30D, 40D, 5D, D30, D60, Rebel, Optura 100MC, 200MC, Pi, Xi, PowerShot G2, G3, G5, G6, Pro 1, 90 IS, ZR40, ZR45MC, ZR50MC, ZR60, ZR65MC, ZR70MC, ZR80, ZR85, ZR90",Kinamax,11.99,3.6,58
B001F0RPMA,Camera & Photo,Photo Studio,Lastolite LL LB56GB Reversible 5-Feetx6-Feet Plain Collapsible Background (Black/Mid Gray),Lastolite,187.88,4.8,13
B001JSNTFA,Camera & Photo,Camera & Photo,Minolta Weathermatic a type 110 16mm Underwater Diving Scuba Camera,Minolta Weathermatic,255.00,3.8,6
B001KZ0OR8,Camera & Photo,Camera,Premium EN-EL11 Battery Charger with Car Charger Adapter for Nikon CoolPix S550 S560 Digital Camera,Kastar,7.89,4.1,82
B001M5UC3W,Camera & Photo,Point & Shoot Digital Cameras,Kodak Easyshare M893IS 8.1 MP Digital Camera with 3xOptical Image Stabilized Zoom (Silver),KODAK,48.00,3.6,46
B001OI2ZKA,Camera & Photo,Camcorders,Canon ZR960 MiniDV Camcorder w/41x Advanced Zoom - 2009 MODEL (Discontinued by Manufacturer),Canon,289.99,3.5,48
B001OMNJMO,Camera & Photo,Camcorders,Sony DVDirect Express VRDP1 Multi-Function DVD Writer for Sony Handycam Camcorders with USB interface-Black,Sony,154.77,4.0,96
B001Q3M4IQ,Camera & Photo,DSLR Cameras,Olympus Evolt E520 10MP Digital SLR Camera with 14-42mm f/3.5-5.6 and 40-150mm f/4.0-5.6 ED Zuiko Lenses,Olympus,795.00,3.5,32
B0023NVS7Q,Camera & Photo,Neutral Density Filters,Hoya 72 mm HMC NDx2 Screw-in Filter,Hoya,25.26,4.6,64
