user_id,age,gender,region,signup_at,acquisition_channel,membership_tier,primary_device
USR-000001,20,male,OTHER,2024-07-05T10:08:00+09:00,referral,premium,mobile
USR-000002,23,male,INCHEON,2024-07-15T18:37:00+09:00,organic,premium,mobile
USR-000003,44,female,DAEJEON,2025-03-31T09:57:00+09:00,paid_search,plus,desktop
USR-000004,36,female,GYEONGGI,2025-06-10T09:08:00+09:00,email,basic,desktop
USR-000005,24,female,BUSAN,2026-02-27T14:26:00+09:00,affiliate,basic,mobile
USR-000006,18,male,BUSAN,2025-01-05T20:58:00+09:00,referral,basic,mobile
USR-000007,35,male,INCHEON,2025-02-11T23:01:00+09:00,referral,basic,mobile
USR-000008,28,female,BUSAN,2024-09-17T10:53:00+09:00,organic,vip,mobile
USR-000009,67,male,GYEONGGI,2026-03-20T17:43:00+09:00,affiliate,basic,mobile
USR-000010,29,male,GYEONGGI,2025-09-24T10:42:00+09:00,organic,basic,mobile
USR-000011,70,male,SEOUL,2025-06-14T12:08:00+09:00,referral,basic,desktop
USR-000012,60,female,SEOUL,2026-06-24T03:18:00+09:00,direct,plus,mobile
USR-000013,27,male,DAEGU,2025-12-30T12:09:00+09:00,paid_search,basic,mobile
USR-000014,26,male,DAEJEON,2026-02-18T03:48:00+09:00,social,basic,mobile
USR-000015,47,male,GYEONGGI,2025-08-31T19:15:00+09:00,affiliate,basic,mobile
USR-000016,18,male,GWANGJU,2024-07-14T22:57:00+09:00,email,basic,mobile
USR-000017,40,female,DAEGU,2025-01-12T00:38:00+09:00,paid_search,basic,tablet
USR-000018,39,female,GYEONGGI,2025-05-20T01:59:00+09:00,paid_search,plus,mobile
USR-000019,40,female,BUSAN,2025-09-09T16:22:00+09:00,social,basic,desktop
USR-000020,18,male,SEOUL,2025-08-08T19:13:00+09:00,paid_search,basic,desktop
USR-000021,40,male,GWANGJU,2026-01-19T11:19:00+09:00,direct,basic,desktop
USR-000022,24,female,DAEJEON,2024-07-23T10:12:00+09:00,organic,premium,mobile
USR-000023,19,male,SEOUL,2025-03-11T06:53:00+09:00,direct,plus,mobile
USR-000024,25,female,SEOUL,2024-07-14T20:12:00+09:00,affiliate,premium,mobile
USR-000025,53,male,INCHEON,2025-07-23T00:17:00+09:00,paid_search,vip,mobile
USR-000026,69,male,SEOUL,2024-11-13T01:09:00+09:00,direct,basic,mobile
USR-000027,28,female,DAEGU,2024-12-09T10:59:00+09:00,organic,basic,mobile
USR-000028,62,male,SEOUL,2025-03-18T01:29:00+09:00,social,basic,mobile
USR-000029,21,female,INCHEON,2024-11-14T21:27:00+09:00,paid_search,basic,mobile
USR-000030,51,female,INCHEON,2026-05-12T22:00:00+09:00,social,plus,mobile
USR-000031,21,male,GYEONGGI,2026-01-21T15:24:00+09:00,paid_search,plus,desktop
USR-000032,40,male,DAEJEON,2026-05-25T04:05:00+09:00,paid_search,basic,mobile
USR-000033,44,male,BUSAN,2025-05-08T16:44:00+09:00,affiliate,premium,desktop
USR-000034,22,female,DAEGU,2025-05-15T02:43:00+09:00,referral,basic,mobile
USR-000035,26,male,GYEONGGI,2026-03-03T03:40:00+09:00,organic,plus,desktop
USR-000036,29,male,SEOUL,2026-06-28T22:13:00+09:00,referral,basic,mobile
USR-000037,38,female,SEOUL,2026-03-23T01:19:00+09:00,direct,basic,mobile
USR-000038,33,female,GYEONGGI,2025-02-09T14:23:00+09:00,social,basic,mobile
USR-000039,25,male,SEOUL,2024-10-23T13:45:00+09:00,referral,premium,mobile
USR-000040,18,male,GYEONGGI,2026-01-09T07:21:00+09:00,organic,basic,mobile
USR-000041,39,female,SEOUL,2025-03-03T13:02:00+09:00,email,basic,tablet
USR-000042,25,female,GWANGJU,2025-04-20T07:40:00+09:00,email,basic,desktop
USR-000043,33,male,DAEGU,2024-11-19T12:51:00+09:00,email,basic,desktop
USR-000044,42,male,SEOUL,2026-06-19T13:28:00+09:00,social,basic,desktop
USR-000045,18,female,SEOUL,2026-06-17T17:35:00+09:00,referral,basic,mobile
USR-000046,53,male,SEOUL,2025-02-06T01:55:00+09:00,email,basic,desktop
USR-000047,52,female,GYEONGGI,2025-12-09T17:12:00+09:00,direct,basic,desktop
USR-000048,29,female,INCHEON,2025-09-25T11:42:00+09:00,social,basic,desktop
USR-000049,69,male,DAEJEON,2026-04-29T17:09:00+09:00,social,basic,desktop
USR-000050,42,female,GYEONGGI,2025-11-27T11:24:00+09:00,email,plus,mobile
USR-000051,20,male,SEOUL,2025-11-08T14:36:00+09:00,email,vip,mobile
USR-000052,34,female,GYEONGGI,2025-10-14T15:22:00+09:00,referral,basic,mobile
USR-000053,31,female,GYEONGGI,2024-10-22T10:50:00+09:00,paid_search,premium,mobile
USR-000054,44,unknown,BUSAN,2025-08-27T20:17:00+09:00,affiliate,plus,mobile
USR-000055,28,female,SEOUL,2026-02-13T04:49:00+09:00,email,basic,mobile
USR-000056,42,male,SEOUL,2025-08-19T11:22:00+09:00,affiliate,basic,mobile
USR-000057,40,male,DAEJEON,2024-07-25T00:57:00+09:00,paid_search,plus,mobile
USR-000058,60,male,DAEGU,2024-10-23T01:11:00+09:00,referral,plus,desktop
USR-000059,46,female,SEOUL,2026-06-01T06:41:00+09:00,referral,basic,desktop
USR-000060,28,female,INCHEON,2026-01-09T17:54:00+09:00,referral,plus,desktop
USR-000061,18,female,GYEONGGI,2025-05-17T14:11:00+09:00,organic,plus,mobile
USR-000062,63,female,GYEONGGI,2025-04-05T08:48:00+09:00,organic,premium,desktop
USR-000063,33,male,GYEONGGI,2025-03-02T09:07:00+09:00,paid_search,basic,desktop
USR-000064,35,male,BUSAN,2024-12-09T23:14:00+09:00,social,basic,desktop
USR-000065,34,male,DAEJEON,2026-02-10T18:01:00+09:00,social,basic,mobile
USR-000066,49,male,GYEONGGI,2024-08-15T21:25:00+09:00,paid_search,basic,mobile
USR-000067,23,female,GYEONGGI,2024-08-01T07:01:00+09:00,paid_search,basic,mobile
USR-000068,25,female,SEOUL,2024-07-03T09:43:00+09:00,paid_search,premium,mobile
USR-000069,35,female,SEOUL,2024-08-12T21:55:00+09:00,social,plus,mobile
USR-000070,64,female,GYEONGGI,2026-02-11T10:11:00+09:00,paid_search,basic,mobile
USR-000071,23,male,SEOUL,2026-02-18T21:39:00+09:00,direct,basic,mobile
USR-000072,38,male,INCHEON,2026-02-17T07:49:00+09:00,social,basic,desktop
USR-000073,31,male,SEOUL,2025-05-07T05:12:00+09:00,paid_search,basic,desktop
USR-000074,27,male,BUSAN,2025-09-18T08:08:00+09:00,paid_search,basic,mobile
USR-000075,30,female,DAEGU,2026-04-27T14:02:00+09:00,referral,premium,mobile
USR-000076,49,female,SEOUL,2025-05-21T19:12:00+09:00,organic,basic,mobile
USR-000077,38,female,SEOUL,2025-07-22T14:36:00+09:00,paid_search,premium,mobile
USR-000078,59,female,DAEGU,2026-06-13T20:40:00+09:00,referral,basic,desktop
USR-000079,46,female,GYEONGGI,2026-05-04T00:51:00+09:00,referral,plus,mobile
USR-000080,32,male,GYEONGGI,2025-12-24T21:05:00+09:00,direct,premium,desktop
USR-000081,37,male,DAEGU,2025-05-26T22:21:00+09:00,paid_search,basic,mobile
USR-000082,27,male,GYEONGGI,2025-03-31T02:18:00+09:00,paid_search,plus,mobile
USR-000083,38,male,SEOUL,2024-11-05T05:56:00+09:00,paid_search,basic,desktop
USR-000084,19,male,GYEONGGI,2026-06-15T07:59:00+09:00,organic,plus,mobile
USR-000085,51,female,SEOUL,2026-05-25T01:18:00+09:00,social,plus,mobile
USR-000086,54,male,DAEJEON,2025-08-08T14:13:00+09:00,organic,plus,mobile
USR-000087,61,female,GYEONGGI,2026-03-26T00:22:00+09:00,organic,basic,mobile
USR-000088,47,male,SEOUL,2024-07-22T04:23:00+09:00,direct,premium,mobile
USR-000089,60,female,GYEONGGI,2025-09-26T20:29:00+09:00,paid_search,plus,tablet
USR-000090,23,female,SEOUL,2024-12-22T10:01:00+09:00,paid_search,plus,mobile
USR-000091,29,male,SEOUL,2025-04-22T19:48:00+09:00,direct,basic,mobile
USR-000092,51,female,GYEONGGI,2024-10-03T16:44:00+09:00,organic,basic,mobile
USR-000093,30,male,BUSAN,2026-03-15T03:08:00+09:00,direct,basic,mobile
USR-000094,22,female,DAEGU,2025-05-06T03:34:00+09:00,organic,plus,mobile
USR-000095,29,male,SEOUL,2026-02-18T02:07:00+09:00,organic,plus,desktop
USR-000096,35,female,GYEONGGI,2024-11-14T18:12:00+09:00,social,plus,desktop
USR-000097,49,male,SEOUL,2024-07-12T23:59:00+09:00,paid_search,plus,mobile
USR-000098,23,female,BUSAN,2025-10-12T02:53:00+09:00,paid_search,basic,mobile
USR-000099,51,female,DAEGU,2025-10-26T21:48:00+09:00,direct,plus,tablet
USR-000100,50,female,GYEONGGI,2025-04-16T15:59:00+09:00,social,basic,desktop
USR-000101,36,male,SEOUL,2024-07-17T16:09:00+09:00,paid_search,basic,mobile
USR-000102,44,male,SEOUL,2024-09-16T00:51:00+09:00,affiliate,basic,mobile
USR-000103,29,female,SEOUL,2025-10-14T16:32:00+09:00,referral,plus,mobile
USR-000104,30,male,BUSAN,2025-06-26T06:25:00+09:00,organic,basic,mobile
USR-000105,20,female,BUSAN,2024-11-16T13:00:00+09:00,organic,basic,mobile
USR-000106,33,male,SEOUL,2024-10-15T01:58:00+09:00,referral,plus,mobile
USR-000107,18,male,INCHEON,2025-03-03T16:40:00+09:00,organic,basic,mobile
USR-000108,38,male,SEOUL,2025-05-04T16:05:00+09:00,organic,plus,mobile
USR-000109,34,female,INCHEON,2026-04-13T02:28:00+09:00,email,basic,mobile
USR-000110,49,male,SEOUL,2024-12-03T17:12:00+09:00,organic,plus,desktop
USR-000111,42,male,DAEJEON,2026-05-06T04:27:00+09:00,organic,plus,desktop
USR-000112,62,male,OTHER,2026-02-19T18:15:00+09:00,referral,basic,desktop
USR-000113,47,male,SEOUL,2025-07-17T14:59:00+09:00,paid_search,basic,mobile
USR-000114,25,male,DAEJEON,2024-11-22T03:13:00+09:00,affiliate,basic,mobile
USR-000115,28,female,GYEONGGI,2025-04-11T20:32:00+09:00,organic,plus,mobile
USR-000116,22,male,SEOUL,2024-08-17T23:27:00+09:00,organic,plus,tablet
USR-000117,21,female,GYEONGGI,2024-10-10T11:56:00+09:00,organic,basic,mobile
USR-000118,63,female,SEOUL,2026-03-05T13:25:00+09:00,organic,basic,mobile
USR-000119,55,female,SEOUL,2024-09-09T11:30:00+09:00,direct,basic,mobile
USR-000120,42,male,GYEONGGI,2025-09-13T21:36:00+09:00,direct,vip,mobile
USR-000121,22,female,SEOUL,2025-07-22T01:07:00+09:00,referral,premium,mobile
